Sample	Category	
fermented vegetable (kimchee) from a local store	food	
fermented vegetable (kimchi)	food	
fermented vegetables	food	
fermented vinegar broth	food	
fermented wheat flour	food	
fermented yak milk	food	
fermenting apple juice	food	
fermenting putrified meat sample	food	
fermenting sugarcane juice	food	
fermeted vegetable	food	
film in fermentor of rice vinegar	food	
finished ready to eat dairy food product	food	
finished ready to eat diry food product	food	
finished rte dairy food product	food	
finished rte food product	food	
finnish food, fish roe	food	
fish ball	food	
fish balls	food	
fish burger	food	
fish food	food	
flour	food	
food	food	
food - coleslaw	food	
food - mussel (final product)	food	
food - pork dumpling-outbreak	food	
food - processed meat	food	
food - raw mussel	food	
food - smoked mussels	food	
food - turkey	food	
food (aniseed)	food	
food (curry)	food	
food (fennel)	food	
food (hamburger)	food	
food (parsley)	food	
food (pepperoni)	food	
food (pork)	food	
food (poultry)	food	
food (raw milk)	food	
food (toasted oats cereal)	food	
food after high pressure treatment	food	
food associated environment	food	
food associated with a case	food	
food breast-outbreak	food	
food from white pepper outbreak	food	
food packaging	food	
food poisoning incident	food	
food processing	food	
food processing environment	food	
food processing facility	food	
food processing plant	food	
food processing plant environment	food	
food product	food	
food product (envo:00002002); cheese (camembert)	food	
food product (envo:00002002); cheese (mozzarella)	food	
food product (envo:00002002); chicken bodily fluid	food	
food product (envo:00002002); chicken broiler meat	food	
food product (envo:00002002); pork	food	
food product (envo:00002002); turkey bodily fluid	food	
food product (envo:00002002); turkey meat	food	
food sample	food	
food service operation	food	
food waste compost	food	
food- mung bean-outbreak	food	
food-pig	food	
food-porcine	food	
food-turkey	food	
food, clams	food	
food, dried cooked mussel	food	
food, fresh basil	food	
food, ground nutmeg	food	
food, hard cheese	food	
food, raw black tiger shrimp	food	
food; isolated from milk	food	
food; isolated from pasta	food	
food: cabbage	food	
food: ham	food	
food: lettuce	food	
food: liver paste	food	
food/environmental	food	
french sausage	food	
french smear-ripened cheese (munster type),	food	
fresh alfalfa sprouts	food	
fresh chicken meat	food	
fresh chopped liver	food	
fresh fish	food	
fresh raw milk	food	
fresh shelled eggs	food	
fresh, whole chicken carcass purchased from a supermarket	food	
fried eel (fish)	food	
frozen peas	food	
frozen whole tilapia	food	
fructose	food	
fruit powder	food	
fu-tsai (a taiwan fermented mustard product)	food	
fu-tsai, a traditional fermented mustard	food	
ganjang fermented soy sauce	food	
garden lettuce	food	
gelatin	food	
ginger powder	food	
ginseng	food	
goat cheese	food	
gouda cheese	food	
grana padano cheese with late blowing defect	food	
grape marcs obtained from prosecco vineyard	food	
grape must	food	
grape must, fermenting at high temperature	food	
grape skin	food	
grape vinegar	food	
grapefruit juice	food	
green chile ingredient	food	
ground beef	food	
ground black pepper	food	
ground meat	food	
ground red chili pepper	food	
ground turkey	food	
ham	food	
ham and was associated with the only known human outbreak of type d botulism, which occurred	food	
handmade mexican cotija cheese	food	
heat treated raw milk	food	
herbal tea made from the dried flowers of hibiscus	food	
home-canned salmon	food	
home-made koumiss	food	
home-made yogurt	food	
home-prepared liver paste	food	
home–make cheese	food	
homemade cheese	food	
homemade koumiss	food	
homemade yoghurt	food	
honey	food	
hot dog during an outbreak of listeriosis that occurred	food	
hot-dog	food	
hybrid plum	food	
hydrolyzed vegetable protein powder	food	
ice cream	food	
imported shrimp	food	
indian curry (sterilised soup in pouch)	food	
infant food	food	
irradiated ground pork and beef	food	
isolated from fermented brine used for stinky tofu production	food	
isolated from the fermented milk product yakult (yakult ltd., japan)	food	
italian roast beef	food	
japanese pickles	food	
japanese unhulled rice	food	
jeotgal	food	
jeotgal, traditional korean fermented seafood	food	
jogaejeotgal, a traditional korean fermented seafood	food	
kambusha tea	food	
kimchi	food	
kimchi, a type of traditional korean fermented food	food	
kimchi, fermented-vegetable foods produced in korea	food	
kimchi: fermented vegetable	food	
kochujang	food	
kombucha tea	food	
korean salt-fermented food	food	
korean salt-fermented food 'shrimp jeotgal'	food	
korean traditional alcoholic beverage	food	
korean traditional fermented food	food	
korean traditional fermented seafood	food	
korean traditional fermented seafood (jeotgal)	food	
korean traditional kimchi	food	
korean traditional nuruk	food	
korean traditional salt-fermented seafood (ojingeojeot)	food	
korean tranditional fermentation liquor	food	
koumiss (fermented mare's milk)	food	
kouso, a japanese sugar-vegetable fermented beverage ion torrent pgm system	food	
laboratory heat treated raw milk	food	
laboratory heat treated raw milk 1	food	
laboratory heat treated raw milk 2	food	
light wheat beer	food	
liquid skim milk clt	food	
lobster sauces	food	
loose leaf lettuce	food	
lunchmeat	food	
madres curry powder (hot)	food	
mahi-mahi	food	
main roots of sugar beet was conducted	food	
makgeolli	food	
marinated fish product	food	
mayonnaise	food	
meat	food	
meat and bone meal	food	
meat and bonemeal, lamb-based	food	
meat bone meal	food	
meat collected between 2001-2002	food	
meat environment	food	
meat food production facility	food	
meat ham	food	
meju fermented soybeans	food	
meju, fermented soybean paste	food	
merlot	food	
mexican meal	food	
milk	food	
milk and dairy utensils	food	
milk and milk products	food	
milk carafe	food	
milk filter	food	
milk filter (dairy cow farm)	food	
milk from a bovine mastitis case	food	
milk from a bulk milk storage tank	food	
milk from a sheep with mastitis	food	
milk from an udder	food	
milk from cattle	food	
milk from cow with acute mastitis	food	
milk from cow with bovine mastitis	food	
milk from cow with mastitis, persistent intramammary infection	food	
milk from dairy animals with mastitis	food	
milk from dairy cow with mastitis	food	
milk from female	food	
milk from healthy cattle	food	
milk of camel from kenya	food	
milk of mastitis dairy sheep	food	
milk of sheep with subclinical mastitis	food	
milk powder	food	
milk powder manufacturing plant	food	
milk powder plant	food	
milk powder production facility	food	
milk product	food	
milk products	food	
milk sample	food	
milk tooth	food	
milk- and legume-based primary starters used for gergoush production	food	
milk, (fermented) dairy products and desserts	food	
milk, fermented dairy products anddesserts	food	
minced meat	food	
mixed minced meat	food	
modified atmosphere packaged beef	food	
modified atmosphere packaged veal mince	food	
mongolian fermented mare milk, airag	food	
montana milk 1994 outbreak strain fromcdc	food	
mozzarella cheese	food	
munster cheese	food	
mushroom shed on a farm	food	
mushroom soup	food	
mushroom soup (12h 60 c degree)	food	
mustard and cress	food	
myeolchi jeot	food	
myeolchi-jeotgal, salted fermented food	food	
myulchi jeot which is fermented anchovy (engraulis japonica) food	food	
natural cider of the basque country	food	
natural fermented sour congee	food	
nero di troia red wine (vintage 2007)	food	
nero di troia red wine (vintage 2007) undergoing spontaneous mlf and collected from three different vinifications performed in the same winery	food	
non-salted pickle solution used in production of sunki (japanese traditional fermented leaves and stems of red turnips)	food	
nonfat dry milk	food	
orange juice	food	
orange lemonade	food	
originally isolated from traditionally fermented chinese dairy products.; yogurt block - traditionally fermented chinese dairy products	food	
packaged chicken	food	
palm brown sugar	food	
paprika	food	
partially fermented wine	food	
pasteurized 2% fat milk	food	
pasteurized 2% milk	food	
pasteurized carrot	food	
pasteurized commercial milk	food	
pasteurized egg white	food	
pasteurized milk	food	
pea soup	food	
pea soup (12h 60 c degree)	food	
pea soup (24h 60 c degree)	food	
pea soup (8h 40 c degree)	food	
peanut	food	
peanut butter	food	
peanut butter from sick patient	food	
peanut butter outbreak	food	
peanut chicken soup	food	
pepper salami	food	
pepper, ground red	food	
pickle	food	
pickled cabbage	food	
pickled mackerel sashimi	food	
pickles	food	
pilsner beer	food	
pinot noir	food	
pork	food	
pork chop	food	
pork chops	food	
pork industry	food	
pork meat	food	
pork pickled sausage	food	
pork samples	food	
pork sausage	food	
pork sirloin curry	food	
pork,pickled sausage	food	
potato puree, food poisoning	food	
potato salad	food	
poultry	food	
poultry egg	food	
poultry meat	food	
poultry meat at retail store	food	
poultry salami	food	
poultry,egg	food	
powdered infant formula	food	
prepacked beef	food	
processed meat	food	
product-rte-salt cured-beef	food	
pu'er tea	food	
puffed rice cereal	food	
puffed wheat cereal	food	
punjabi chole spice	food	
putrefied (hiochi) japanese sake	food	
queso fresco	food	
quick vinegar	food	
quinoa sourdough	food	
radish and carrot pickled with rice bran and salt	food	
radish pickled	food	
raw cheese with rennet	food	
raw chicken	food	
raw cow milk	food	
raw cow's milk	food	
raw cream from cow milk	food	
raw gallnut honey	food	
raw goat milk	food	
raw kafta	food	
raw liquid milk and whey perm	food	
raw liquid milk silo	food	
raw milk	food	
raw milk havarti cheese	food	
raw milk sample from udder of cow under veterinary care	food	
raw milk sample from udder of healthy cow	food	
raw nectarines	food	
raw oysters	food	
raw pork sausage	food	
raw rice wine	food	
raw salad	food	
raw tuscan sausage	food	
ready-to-eat dish	food	
ready-to-eat fermented meat	food	
ready-to-eat seafood product ¿¿¿cod roe¿¿¿	food	
red chili powder	food	
red lasagna sauce	food	
red pepper	food	
red wine	food	
retail chichen	food	
retail chicken	food	
retail deli	food	
retail meat	food	
retail raw meat	food	
rice sourdough	food	
rice stew with chicken (sterilized in acan)	food	
rice vinegar mash from surface aceticacid fermentation in a vinegar factory	food	
ricotta cheese	food	
ricotta/mozzarella whey	food	
ripe olives	food	
roast beef	food	
roasted chicken	food	
rotting apple	food	
rotting pear	food	
rye sourdough	food	
rye-bran sourdough	food	
saeu-jeotgal, salted fermented food	food	
salad	food	
salami	food	
salmon eggs associated with a foodborne case of botulism	food	
salmon sashimi	food	
salt-fermented seafood	food	
salted and fermented shrimp (a traditional korean seafood called seujeot	food	
salted crab (poo-khem)	food	
salted fish	food	
san francisco sourdough	food	
sauerkraut	food	
sausage	food	
sauvblanc	food	
sea-food	food	
seafood	food	
seafood (corb shell)	food	
seafood (crab)	food	
seafood (oyster)	food	
seafood is multidrug resistant isolate which is resistant to quinolones, tetracyclines, chloramphenicol and sulphonamide	food	
seafood pasta	food	
shrimp jeotgal, a traditional korean fermented seafood	food	
shrimp, frozen	food	
shrimp, frozen raw	food	
shrimp, frozen undeveined	food	
shrimp, raw	food	
shrimp, shell-on	food	
sichuan pickle vegetables	food	
skim milk clt	food	
sliced mixed vegetables	food	
smear-ripened cheese	food	
smoke salmon	food	
smoked salmon	food	
soft drink (brewery)	food	
sour milk	food	
sourdough	food	
sourdough bread; cheese starter	food	
sourdough, manufactured with wheat, rye and spelt flour	food	
soured milk product	food	
south tyrolean ham	food	
soy bean hull pellets	food	
soy sauce	food	
soy sauce mash	food	
soybean fermentation	food	
soybean paste	food	
spanish bobal grape must	food	
spanish traditional cheese casin	food	
sparkling white wine	food	
sparkling wine	food	
spice	food	
spice mix	food	
spiced meat	food	
spinach (foodborne isolate)	food	
spoiled beer	food	
spoiled canned food	food	
spoiled horse mackerel causing food poisoning	food	
spoiled horse mackerel which caused food poisoning	food	
spoiled mixed fruit juice (containing fresh orange, apple, mango, pineapple and raspberry juice imported into japan from the usa)	food	
spoiled raw milk and the presence of an operon encoding spoilage enzymes	food	
spoiled sake	food	
spoiled salad dressing	food	
spoiled wine fermentation	food	
stew with vegetables, food poisoning	food	
stinky tofu	food	
strawberry vinegar	food	
submerged vinegar	food	
submerged wine vinegar productionthe elucidation of the mechanisms	food	
sugar beet juice from extraction installations	food	
sunki, japanese traditional fermented vegetable	food	
superior fermented meat	food	
surface and smear water of german red smear soft cheese	food	
surrface of cheese	food	
sweet acidophilus milk	food	
swine (homemade salami)	food	
swiss semi-hard red-smear cheese	food	
taiwan fermented cabbage, has been reported to have immunomodulatory activity and anti-allergic effects	food	
taleggio cheese	food	
thai fish sauce	food	
thai fish sauce containing 26-28% nacl	food	
the brine of the traditional chinese snack, stinky tofu, is a novel species of the genus lactobacillus	food	
traditional belgian wheat sourdoughs	food	
traditional cheese	food	
traditional dairy	food	
traditional dairy fermented product (dahi type)	food	
traditional dairy product	food	
traditional dairy products	food	
traditional dairy products of minority nationalities	food	
traditional emmental cheese, made without added propionibacteria starter,	food	
traditional fermented dairy	food	
traditional fermented dairy food yogurt block	food	
traditional fermented food (gizzardshad)	food	
traditional fermented milk	food	
traditional homemade dairy product	food	
traditional indian fermented food, kanjika	food	
traditional japanese fermented vegetable	food	
traditional korean fermented food,jeotgal	food	
traditional korean fermented seafood jeotgal	food	
traditional korean food	food	
traditional korean kimchi	food	
traditional naturally fermented cream	food	
traditional salt-fermented seafood inkorea	food	
traditional sour milk	food	
traditional yoghurt	food	
tuna salad	food	
tuna sandwich	food	
tuna steaks; frozen yellowfin	food	
tuna strips, frozen yellowfin	food	
tuna, frozen ground	food	
tuna, frozen ground yellowfin	food	
turkey breakfast sausage	food	
turkey deli meat	food	
turkey hot dog associated with a sporadic case of listeriosis	food	
turmeric powder	food	
turnip pickled	food	
ultra heat-treated soup	food	
uncooked chicken	food	
uncooked sour wort of dolo, traditional sorghum malt beer	food	
unpasteurized camembert cheese	food	
unpasteurized egg white	food	
unsweetened puffed rice cereal	food	
vacuum packed beef	food	
vacuum-packaged beef	food	
vacuum-packaged vegetable sausages	food	
various pet foods	food	
vietnamese fermented sausage (nem chua)	food	
vinegar	food	
vinegar paste	food	
wheat sourdough	food	
white kimchii	food	
white nectarines fire pearl variety	food	
white peach	food	
white wine	food	
wine	food	
wine collected 1986/1984	food	
wine grapes	food	
yak milk	food	
yellow nectarine	food	
yogurt	food	
yogurt fermentation	food	
yogurt-flavored cultured beverage	food	
yoojeon food spices	food	
bobal wine	food	
curd	food	
curd of morlacco cheese	food	
dairy starter	food	
dairy starter culture	food	
dairy, plant, and human sources	food	
food-packaging paperboard	food	
food-waste degradation bioreactor (baku baku)	food	
formula	food	
acidified beer wort	food	
isolated from submerged wine vinegar production	food	
mesophilic cheese starter cultures	food	
milking room	food	
mixed strain dairy starter culture	food	
natural lactic starter cultures used for the production of typical italian cheese	food	
pinotgris	food	
probiotic products	food	
probiotic, widely distributed	food	
probiotics	food	
probiotics capsules	food	
produce	food	
produce field - drag swab	food	
propagated starter culture used in cheese manufacturing	food	
propagated starter culture used in cheese manufacturing; cheese starter	food	
raw cream	food	
red heat in salted hides (spoiledfish)	food	
rennin	food	
ricotta 2011	food	
rugao ham	food	
undefined mesophilic cheese starterculture	food	
vanilla pudding	food	
vinegar factory	food	
viognier	food	
vitamin b2 feed additive	food	
220 cm below water surface of man-made lake	fresh water	
90 cm below water surface of man-made lake	fresh water	
a planktonic sample of freshwater lake at 1m depth	fresh water	
anderson lake	fresh water	
anoxic hypolimnion of a freshwater lake	fresh water	
caciam 66 non-axenic culture of unicellular cyanobacterium started from freshwater	fresh water	
collected below a freshwater pond	fresh water	
eutrophic freshwater pond	fresh water	
fish farm freshwater	fresh water	
fresh water	fresh water	
fresh water from drinking water reservoir	fresh water	
fresh water from lake cargelligo on the lachlan river	fresh water	
fresh water lake	fresh water	
fresh water lake l43 ice waterinterface	fresh water	
fresh water mats	fresh water	
freshwater	fresh water	
freshwater (spring)	fresh water	
freshwater antarctic lake	fresh water	
freshwater aquarium	fresh water	
freshwater beach	fresh water	
freshwater creek	fresh water	
freshwater farm	fresh water	
freshwater from taihu lake	fresh water	
freshwater lake	fresh water	
freshwater land-locked lake, l27c, formed by melt water from the schirmacher oasis glacier during the summer months in east antarctica	fresh water	
freshwater large river	fresh water	
freshwater pond	fresh water	
freshwater pond for pacific white shrimp	fresh water	
freshwater reservoir	fresh water	
freshwater river biome	fresh water	
freshwater sample	fresh water	
freshwater stream	fresh water	
freshwater stream from sewage	fresh water	
freshwater, acidic water of a bog system	fresh water	
japanese freshwater lake	fresh water	
japanese freshwater lake, imbanuma	fresh water	
non-axenic culture of unicellular cyanobacterium started from freshwater	fresh water	
single cell amplified by mda; freshwater lake	fresh water	
surface of a eutrophic freshwater pond	fresh water	
surface water (20cm)	fresh water	
surface water of freshwater pond used for culture of pacific white shrimp	fresh water	
surface water of freshwater swan lake	fresh water	
wintergreen lake	fresh water	
canal	fresh water	
ria grande do sul	fresh water	
rio grande do sul	fresh water	
riparian	fresh water	
river clay	fresh water	
river epilithon	fresh water	
river ganga	fresh water	
river snow from south saskatchewan river	fresh water	
river tiber	fresh water	
environment - water-river	fresh water	
river bhagirathi	fresh water	
river in endau-rompin national park	fresh water	
river water	fresh water	
riverwater	fresh water	
schelde river	fresh water	
surface river water	fresh water	
surface water from a freshwater lake in the southern gobi desert in inner mongolia	fresh water	
surface water of the huguangyan maar lake	fresh water	
surface water of the shahu lake	fresh water	
the moskva river	fresh water	
the pshada river	fresh water	
the surface waters of a freshwater dam (maroon dam)	fresh water	
urban river	fresh water	
urban river water	fresh water	
water column from pozas azules	fresh water	
water column of the freshwater reservoir embalse de amadorio in spain	fresh water	
water from the east lake of wuhan	fresh water	
water sample from huangpu river	fresh water	
dianchi lake of china	fresh water	
environmental (pond)	fresh water	
environmental (streams)	fresh water	
japanese pond	fresh water	
jordan river	fresh water	
lake	fresh water	
lake alchichica microbialites	fresh water	
lake bonney, an ice-covered lake	fresh water	
lake chad	fresh water	
lake constance	fresh water	
lake erie water-derived	fresh water	
lake fumarolic in the uzon caldera	fresh water	
lake gabara	fresh water	
lake kasumigaura, japan	fresh water	
lake khadyn (russia)	fresh water	
lake kivu	fresh water	
lake kulim, kedah, malaysia	fresh water	
lake malyi kasytui, a shallow soda reservoir	fresh water	
lake p10-podprudnoye	fresh water	
lake sanaru	fresh water	
lake taihu water	fresh water	
lake untersee	fresh water	
lake vesijarvi, finland	fresh water	
lake washington	fresh water	
lake water	fresh water	
oligotrophic lake stechlin	fresh water	
oneida lake	fresh water	
pavilion lake microbialites	fresh water	
pearl river surface water	fresh water	
pond water	fresh water	
river	fresh water	
single cell amplified by mda; lake water	fresh water	
stream water	fresh water	
the pelagial of lake zurich	fresh water	
unialgal culture in lake water	fresh water	
water from lonar lake	fresh water	
water from shallow pond	fresh water	
water of eutrophic lake	fresh water	
water of socompa lake	fresh water	
water-creek	fresh water	
water-pond	fresh water	
mushroom	fungus	
mushroom caps exhibiting blotch discolorations at a mushroom farm	fungus	
mushroom compost	fungus	
mushroom surface	fungus	
a fusarium oxysporium growth plate	fungus	
fungus	fungus	
fungus comb	fungus	
fungus garden of the leaf-cutter ant	fungus	
white-rot fungus phanerochaete chrysosporium	fungus	
uncultured endobacterium of fungus isolated from soil in duke forest	fungus	
a coastal hot spring	hot spring	
acidic hot spring	hot spring	
akaline hot spring	hot spring	
alkaline hot spring	hot spring	
and acidic hot spring	hot spring	
arima hot spring, kobe, japan as a moderate thermophile	hot spring	
baykal hot springs garga	hot spring	
beppu hot spring	hot spring	
beppu hot springs	hot spring	
coculture of 3 archaeal species originally obtained from terrestrial hot spring (echinus geyser, ynp)	hot spring	
fresh water hot spring	hot spring	
freshwater hot spring	hot spring	
freshwater hot spring, the hale house spring, located at hot springs national park, hot springs, ar, usa	hot spring	
freshwater hot-pool	hot spring	
geothermal hot spring	hot spring	
gg12 hot spring, gibbon geyser basin	hot spring	
hot solfataric spring	hot spring	
hot spring	hot spring	
hot spring at agnano, naples, italy	hot spring	
hot spring at pisciarelli solfatara	hot spring	
hot spring at yellowstone national park	hot spring	
hot spring filament	hot spring	
hot spring in mutnovsky volcano	hot spring	
hot spring microbial mat	hot spring	
hot spring microbial mat on paoha island	hot spring	
hot spring microbial mats	hot spring	
hot spring on the kamchatka penninsula,	hot spring	
hot spring runoff	hot spring	
hot spring sediment	hot spring	
hot spring sediment and water	hot spring	
hot spring sediments	hot spring	
hot spring sludge	hot spring	
hot spring water	hot spring	
hot spring water and gravel	hot spring	
hot spring water sample	hot spring	
hot spring; usa, yellowstone national park, calcite spring area	hot spring	
hot springs	hot spring	
hot springs in eastern india	hot spring	
hot springs sediment	hot spring	
hot springs yellowstone national park	hot spring	
hot springs, yellow stone national park	hot spring	
hot water spring	hot spring	
hot water spring located at manikaran, india	hot spring	
hot-spring sediments	hot spring	
hotspring	hot spring	
hotspring; hot spring	hot spring	
iceland hot springs	hot spring	
in situ cellulolytic enrichments in hot spring gbs	hot spring	
joseph's coat hot spring (jchs_4); temperature 80c; ph 6.1	hot spring	
marine hot spring	hot spring	
microbial mat from hot spring	hot spring	
microbial mat of a hot water spring	hot spring	
microbial mat of hot spring	hot spring	
microbial mat of manikaran hot spring	hot spring	
microbial mats from manikaran hotsprings	hot spring	
moderate hot spring	hot spring	
moderate hot spring,  amparai district, maha oya, sri lanka, 1973	hot spring	
muddy water from acid hot spring	hot spring	
nakabusa hot spring	hot spring	
new zealand high-sulfide hot spring	hot spring	
ng05 hot spring, norris geyser basin	hot spring	
ojo caliente hot spring	hot spring	
qarvajar hot spring	hot spring	
saline hot spring	hot spring	
saline water of hot spring with water temperature 37 c	hot spring	
shallow marine hot spring off the coast of iceland	hot spring	
single cell amplified by mda; dewar creek hot spring	hot spring	
single cell amplified by mda; jinze hot spring	hot spring	
slightly alkaline hot spring	hot spring	
spring water (hunter's hot spring)	hot spring	
submarine hot spring shallow hydrothermal field	hot spring	
terrestrial hot spring	hot spring	
terrestrial hot spring (cistern spring, ynp)	hot spring	
terrestrial hot spring (joseph's coat hot spring, ynp)	hot spring	
terrestrial hot spring (monarch geyser, ynp)	hot spring	
terrestrial hot spring (octopus spring, ynp)	hot spring	
terrestrial hot spring (one hundred spring plain, ynp)	hot spring	
the ~75-80 °c, sulfidic source pool of joseph’s coat hot spring	hot spring	
the bath hot spring	hot spring	
the calcite hot springs	hot spring	
the hakone hot spring area	hot spring	
the hot spring water, showed calcium dependent growth	hot spring	
the muddy water of a sulfuric hot spring	hot spring	
the obsidian hot spring	hot spring	
two 30-60 cm subsurface water samples(65c) from the hot springs at los azufres national park	hot spring	
ulu slim hot spring	hot spring	
ulu slim hot spring, malaysia	hot spring	
water drain hot spring	hot spring	
water from hotspring	hot spring	
water sample from acid hot spring	hot spring	
water, hot spring	hot spring	
water, hot spring, mammoth sinkhole ii	hot spring	
water, thermal spring	hot spring	
1 day old infant	human other	
1-year-old female	human other	
1-year-old male	human other	
1,5 year-old girl (2009) and stab1001 from a 3,3 years-old boy (2010) with perianal streptococcal cellulitis (anusitis)‏	human other	
12-year-old boy	human other	
12-year-old female	human other	
17-month-old male with gastroenteritis at the hospital universitrio pedro ernesto, universidade do estado do rio de janeiro, rio de janeiro, brazil	human other	
19 patient samples	human other	
2-year-old girl with tick-borne relapsing fever	human other	
24-year-old female	human other	
26-year old man with an implant associated osteitis	human other	
33-year-old japanese patient suffering from nodular gastritis was used for the whole-genome sequencing	human other	
38 year old male	human other	
4 day old infant	human other	
4 day old male, liver and lung sample	human other	
4 days old, lung, liver and kidney sample	human other	
49 year old woman suffering from melioidosis	human other	
5 bangladeshi children with diarrhea	human other	
50-year-old man	human other	
58-year old man with sepsis and has been shown to be resistant to ciprofloxacin and ceftriaxone	human other	
65-years-old male patient	human other	
72-year-old male living	human other	
72-year-old male with cerebral infarction after colon carcinoma resection	human other	
79-year-old female	human other	
8 month old female, liver and lung sample	human other	
8 months old infant boy	human other	
83-year old woman with a hip prosthesis infection	human other	
87-year-old patient	human other	
88-year old man presenting knee prosthesis infection	human other	
95-year-old female	human other	
a 34-year-old patient with 90% trunk steam burned	human other	
a confirmed case of infective endocarditis	human other	
a diarrheal child	human other	
a patient with scarlatina	human other	
abcess	human other	
abcess fluid	human other	
abcess in patient	human other	
aboriginal child	human other	
aborted fetus	human other	
aborted fetus tissue	human other	
aborted placenta	human other	
aborted_material	human other	
abortion	human other	
abortion product	human other	
absc	human other	
abscess	human other	
abscess (abdominal)	human other	
abscess (vaccinated 22/12/04)	human other	
abscess abdominal	human other	
abscess axilla	human other	
abscess facial	human other	
abscess groin	human other	
abscess hepatic	human other	
abscess l cheek	human other	
abscess l foot	human other	
abscess l hip	human other	
abscess l neck	human other	
abscess left buttock	human other	
abscess misc	human other	
abscess pelvic	human other	
abscess peri-rectal	human other	
abscess perianal	human other	
abscess r breast	human other	
abscess r leg	human other	
abscess right leg	human other	
abscess right neck	human other	
abscess swab	human other	
abscess, pelvic drain	human other	
accessory nidamental gland	human other	
acute human prosthetic joint infection, and compare it with the genome, transcriptome and metabolome of an isolate obtained from the same sample grown	human other	
adult patient with louse-borne relapsing fever	human other	
adult patient with underlying chronic lung disease	human other	
adult with chronic obstructive pulmonary disease (copd)	human other	
aids patient and has been characterized for virulence	human other	
american patient with a duodenal ulcer	human other	
american soldier who had diarrhea	human other	
amerindian resident from satipo region, peru	human other	
amerindian resident of san juan miraflores shantytown	human other	
amerindian resident of the remote amerindian village from monte carmelo near cuzco, peru	human other	
amniotic fluid	human other	
amyloid arthropaty	human other	
ankle joint of an 8 month old boy with septic arthritis	human other	
appendix	human other	
arm	human other	
arthritis	human other	
arthritis aspirate	human other	
arthritis aspirates	human other	
arthritis suppuration	human other	
artificial aortic valve	human other	
aspirate	human other	
aspirate chest	human other	
aspirate flank	human other	
aspirate gallbladder	human other	
aspirate l hip	human other	
aspirate, biliary drain	human other	
aspirate, jp drain	human other	
aspiration	human other	
asymptomatic human carriage	human other	
asymptomatic patient	human other	
auditory canal	human other	
australian patient with brazilian purpuric fever-like symptoms	human other	
autopsy brain sample	human other	
autopsy sample from the brain of a fatal melioidosis encephalomyelitis case at the royal darwin hospital, northern territory, australia	human other	
axilla	human other	
axillary lesion	human other	
baby	human other	
bacteremic patient	human other	
bacterial sepsis female patient	human other	
bile	human other	
bile (fluid)	human other	
bile fluid	human other	
bile of a patient with cholecystitis	human other	
biliary fluid	human other	
biopsy from indigenous australian	human other	
biopsy of vertebra	human other	
biospy sample from patient	human other	
bleeding canker	human other	
bodily fluid	human other	
bodily fluid; abscess	human other	
bodily fluid; ear	human other	
bodily fluid; fascia	human other	
bodily fluid; joint (arthritis)	human other	
bodily fluid; pancreatic fluid	human other	
bodily fluid; perineum	human other	
breast abscess	human other	
breast abscess purulent exudates from a lactating mother	human other	
breast implant wound fluid of a 71-year old female patient with clinical symptoms consistent with brucellosis	human other	
breast milk	human other	
breast milk fed infants	human other	
breast of healthy woman	human other	
bubo aspirate from a 10 year old female patient	human other	
buccal mucosa of child	human other	
buccal swab	human other	
burn	human other	
burn patient	human other	
cf	human other	
cf patient, will help determine the genetic factors involved	human other	
child	human other	
child - hospital pneumology ward	human other	
child in a hospital pneumology ward	human other	
child living in a mn, vanadium, nickel contaminated area polluted by a metallurgical factory	human other	
child with active dental caries	human other	
child with disseminated infection	human other	
child with paratyphoid fever	human other	
child with pharyngitis	human other	
chinese patient	human other	
chronic granulomatous disease patient	human other	
chronic granulomatous disease patient at the nih clinical center	human other	
chronic granulomatous disease patient at the nih clinical center in bethesda, md, usa	human other	
clinic	human other	
clinic1	human other	
clinic10	human other	
clinic11	human other	
clinic12	human other	
clinic13	human other	
clinic14	human other	
clinic15	human other	
clinic16	human other	
clinic17	human other	
clinic18	human other	
clinic19	human other	
clinic2	human other	
clinic20	human other	
clinic21	human other	
clinic22	human other	
clinic23	human other	
clinic24	human other	
clinic26	human other	
clinic3	human other	
clinic4	human other	
clinic5	human other	
clinic6	human other	
clinic7	human other	
clinic8	human other	
clinic9	human other	
clinical	human other	
clinical case of hus, is closely related to the 2011 german outbreak strain	human other	
clinical enteroaggregative isolate	human other	
clinical isolate	human other	
clinical isolates from a korean pulmonary patient, male, 64 age, asan medical center	human other	
clinical non-cf	human other	
clinical patient	human other	
clinical sample	human other	
clinical sample from patient with gastroenteritis	human other	
clinical specimen	human other	
clinical specimen from a cystic fibrosis patient	human other	
clinical swab	human other	
clinical swab from women's breast	human other	
clinical, fatal infant meningitis	human other	
clininal isolate from frostbite patient	human other	
csf or blood culture	human other	
cultured from the urine of a 49 year-old female who presented to a clinic in pennsylvania with symptoms indicative of a uti	human other	
cyst	human other	
cystic fibrosis	human other	
cystic fibrosis patient	human other	
cystic fibrosis patient with a chronic infection	human other	
cystic fibrosis patients	human other	
dental abscess	human other	
dental biofilm	human other	
dental plaque	human other	
dental plaque biofilm of the third molar	human other	
dental plaque biofilm of the third molar tooth of an individual diagnosed with pericoronitis	human other	
dental plaque from an adult with gingivitis	human other	
dental plaque from an adult with localized aggressive periodontitis	human other	
dental plaque from an adult with severe periodontitis	human other	
